TMC,DISTANCE,AADT,NO_LANES,MEDWID,SPD_LIMT,SURF_WID,ACCESS,RTE_NBR,Facility_Type,Total,Fatal,Injury,PDO,Total_NonInt,Fatal_NonInt,Injury_NonInt,PDO_NonInt,SHD_WID,myState,OptSpd,SpdVarr1,SpdVarr1_wkd,SpdVarr1_wke,OptSpd_wkd,OptSpd_wke,SpdVarr2,SpdVarr3,SpdVarr4,SpdAvg,SpdCrash,SpdBefCr1,SpdBefCr2,SpdBefCr3,SpdBefCr4,SpdBefCrSD1,SpdBefCrSD2,SpdBefCrSD3,SpdBefCrSD4,SpdBefCrSim1,SpdBefCrSim2,SpdBefCrSim3,SpdBefCrSim4,SpdFF,L_of_Cuv,N_of_Cuv,MinRadius
108N06000,2.26922,8274.382971,4,NA,NA,49.15681699,N,0127R,2_RMU,1,0,0,1,1,0,0,1,NA,OH,34.54203805,3.725663044,3.725747792,3.726196895,33.68391779,36.63314798,0.565023697,0.177164575,0.153646509,25.95809796,NA,35.36446753,35.36446753,35.36446753,35.36446753,NA,13.2894344,13.2894344,13.2894344,26.38488309,29.79537372,33.17834399,30.89390547,35.12686951,0.24,2,954.9333333
108N05182,7.78431,45924.14515,4,82.23603562,NA,48,F,0075R,0_RI,55,0,15,40,55,0,15,40,NA,OH,62.28648641,0.595219541,0.59523308,0.59530483,61.77115944,63.43809932,0.555062476,0.284662067,0.180702034,59.91111515,61.86164945,62.43580944,62.43580944,62.43580944,62.43580944,6.886585025,6.662307683,5.815660399,5.235315257,62.05441692,62.19961063,62.19385833,62.15649816,62.06758804,3.04,27,1145.92
108P05180,0.56414,48547.96204,4,65.54933073,NA,48,F,0075R,0_RI,0,0,0,0,0,0,0,0,NA,OH,61.03809836,0.406280849,0.406290091,0.406339065,60.624,62.29766871,0.328249696,0.311354705,0.479808216,57.38670763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.98810811,0.42,3,1145.92
108N05179,0.08766,49134.52307,4,65.93504971,NA,48,F,0075R,0_RI,0,0,0,0,0,0,0,0,NA,OH,63.1152,0.822312415,0.822331121,0.822430245,63.1152,63.1152,0.688699893,1.329600722,0,55.33320817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.1152,0,0,-1
108P05179,0.02997,46290,4,64,NA,48,F,0075R,0_RI,0,0,0,0,0,0,0,0,NA,OH,53.946,0,0,0,53.946,53.946,0,0,2.934275571,53.7473848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.946,0,0,-1
108N07182,2.35312,2130,2,NA,NA,24,N,0127R,1_R2L,0,0,0,0,0,0,0,0,NA,OH,58.22152577,1.068843762,1.068868075,1.068996917,58.02213699,59.05973393,0.580847838,0.284842415,0.290892851,52.747746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.02213699,0,0,-1
108N09116,0.02347,2130,2,NA,NA,24,N,0127R,1_R2L,0,0,0,0,0,0,0,0,NA,OH,84.492,9.65468389,9.654903505,9.65606731,84.492,84.492,0,0,0,71.31678302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.492,0,0,-1
108P05222,0.09775,20740,4,4,NA,60,F,0002R,3_RMD,0,0,0,0,0,0,0,0,NA,OH,70.38,0,0,0,70.38,70.38,0,0,0,64.79102343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.38,0.06,1,1909.866667
108N05184,5.74877,50843.14127,4,84,NA,48,F,0075R,0_RI,42,0,11,31,42,0,11,31,NA,OH,62.45577284,0.481490336,0.481501288,0.481559329,62.04018586,63.45091058,0.477020968,0.257154862,0.012032887,60.15897684,62.29619143,61.93869239,61.93869239,61.93869239,61.93869239,9.05259851,7.558750821,7.111736599,7.400571322,62.32434591,62.30478274,62.27353661,62.23563771,62.28489521,0.2,1,1909.866667
108N05185,5.03856,53946,4,84,NA,48,F,0075R,0_RI,54,0,15,39,54,0,15,39,NA,OH,62.69176037,0.563725077,0.5637379,0.563805854,62.25337025,63.71949415,0.611062439,0.308079521,0.066588066,59.93821058,61.36885154,62.36891488,62.36891488,62.36891488,62.36891488,12.12028517,11.97436096,12.37398865,12.67243401,62.7876066,62.51351142,62.47583008,62.47583008,62.49376744,0,0,-1
