TMC,DISTANCE,AADT,NO_LANES,MEDWID,SPD_LIMT,SURF_WID,ACCESS,RTE_NBR,Facility_Type,Total,Fatal,Injury,PDO,Total_NonInt,Fatal_NonInt,Injury_NonInt,PDO_NonInt,SHD_WID,myState,OptSpd,SpdVarr1,SpdVarr1_wkd,SpdVarr1_wke,OptSpd_wkd,OptSpd_wke,SpdVarr2,SpdVarr3,SpdVarr4,SpdAvg,SpdCrash,SpdBefCr1,SpdBefCr2,SpdBefCr3,SpdBefCr4,SpdBefCrSD1,SpdBefCrSD2,SpdBefCrSD3,SpdBefCrSD4,SpdBefCrSim1,SpdBefCrSim2,SpdBefCrSim3,SpdBefCrSim4,SpdFF,L_of_Cuv,N_of_Cuv,MinRadius
114N04098,2.79553,32974.5467,7,100.0268102,70,85.82150626,F,90,0_RI,17,0,6,11,15,0,5,10,8.71761217,WA,57.39871483,1.970300222,1.970311425,1.970370785,56.43312897,60.14287649,1.475295379,1.045790841,1.399585795,50.00267613,56.90542483,54.10861902,54.10861902,54.10861902,54.10861902,12.97671975,12.42162838,12.22413123,12.14673696,56.49653698,57.63430329,57.83855172,58.51109302,57.07320227,0,0,-1
114N04099,2.09622,31074,6,250,70,72,F,90,0_RI,0,0,0,0,0,0,0,0,9,WA,63.06177159,1.118966615,1.118972977,1.119006689,62.53916022,65.05510345,1.094892684,0.567689971,0.462000429,57.94334602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.8866,0,0,-1
114N04101,3.49942,46392,7,241.6944769,70,84.07673921,F,90,0_RI,7,0,1,6,7,0,1,6,8,WA,65.4436987,1.159638623,1.159645217,1.159680154,64.82630532,67.01017021,0.853121529,0.51643175,0.083864329,62.15161067,63.7347665,62.97389096,62.97389096,62.97389096,62.97389096,2.584411825,3.115595685,3.123477429,3.248471886,63.77613956,65.20392653,65.27415544,64.93769072,65.16161379,0,0,-1
114N04102,1.19326,51531.75669,7,129.1922296,70,85.15134004,F,90,0_RI,16,1,5,10,12,1,5,6,8.581996617,WA,63.48378325,1.100584376,1.100590634,1.100623792,62.71147445,65.41729949,0.789426697,0.348092348,0.469626477,59.47022571,63.24308644,63.97263121,63.97263121,63.97263121,63.97263121,4.578336478,4.329359707,4.082450842,3.843414911,63.94089088,63.79805941,63.48378325,63.48378325,63.17258824,0,0,-1
114N04103,3.32854,60131.76334,7,220.2616407,70,84.42424862,F,90,0_RI,37,0,14,23,34,0,14,20,9.620731709,WA,64.42335484,2.380147506,2.38016104,2.380232748,62.73687958,68.08377273,0.972028518,0.602824236,0.363343498,55.74149003,60.33066089,64.31386971,64.31386971,64.31386971,64.31386971,12.12796224,11.87314351,11.41956064,11.18454498,63.93080178,63.78894512,64.42335484,64.42335484,64.07884492,0,0,-1
114N04104,2.3423,67610.36669,6,62.96294625,70,72.28818604,F,90,0_RI,8,0,2,6,8,0,2,6,9.698661657,WA,67.81994638,2.12806635,2.12807845,2.128142564,66.92285714,69.88077348,0.809334678,0.317800383,0.273003016,63.09718293,72.1860882,65.81344079,65.81344079,65.81344079,65.81344079,3.118788375,3.73944778,3.862562897,6.672305623,68.93813584,68.9052742,69.15492154,69.2685386,67.45824,0,0,-1
114N04105,2.23802,70433.12754,7,84.50392817,70,85.80740666,F,90,0_RI,15,0,6,9,15,0,6,9,9.40909992,WA,64.97477419,2.479226976,2.479241074,2.479315767,64.11303979,67.1406,0.852583766,0.326198608,0.132243937,58.34204068,62.94527297,63.47332645,63.47332645,63.47332645,63.47332645,7.835654479,8.258429804,8.424667482,7.955981738,64.66624763,64.97477419,64.97477419,65.14990836,64.454976,0,0,-1
114N04561,6.26072,19668.85032,4,76,70,48.2411446,F,90,0_RI,8,0,1,7,8,0,1,7,6.929666157,WA,65.07774398,1.453349245,1.453357509,1.453401294,64.89038004,65.83814606,1.052372439,0.631069738,0.090661429,62.39711678,62.58418265,64.62712337,64.62712337,64.62712337,64.62712337,10.86875712,10.13198882,8.732343346,7.884032481,64.57433645,64.33470599,64.36227801,64.39597714,64.9527147,0,0,-1
114N04677,0.28615,30588,8,22.16162714,70,95.22984059,F,90,0_RI,0,0,0,0,0,0,0,0,4.595932143,WA,54.21789474,2.884999734,2.885016138,2.885103056,54.21789474,60.59647059,3.193408947,1.311130857,0,43.54231123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.21789474,0,0,-1
114N04678,4.21345,32307.6018,7,931.0533189,70,87.68950958,F,90,0_RI,28,0,10,18,25,0,8,17,9.757602282,WA,52.94387435,2.805448582,2.805464534,2.805549056,51.71052273,56.04096059,2.472678292,1.323678872,1.511539977,43.84241854,47.58494273,49.02528382,49.02528382,49.02528382,49.02528382,11.68412056,11.11545943,10.659291,10.13490721,52.93786089,53.36299642,53.30357707,53.66819873,52.54648961,0,0,-1
114N04679,2.14462,32457.97164,6,118.2209709,70,73.53228481,F,90,0_RI,6,0,1,5,5,0,1,4,5.440696831,WA,63.45724932,1.328448709,1.328456262,1.328496285,62.93993478,64.8792605,1.409346194,0.76449492,0.386606351,58.22450275,58.23403301,61.97590057,61.97590057,61.97590057,61.97590057,23.24794661,23.51795109,23.91711604,22.5193794,61.03266403,62.26316129,62.0837668,62.09623592,63.11143324,0,0,-1
114N04680,3.19956,32462.39379,6,66.47219844,70,72.21414804,F,90,0_RI,12,0,6,6,11,0,6,5,7.196715273,WA,64.2290855,1.423408466,1.42341656,1.423459444,63.75507011,65.81952,1.187087833,0.766182117,0.442418633,59.71190732,64.80236889,62.33830108,62.33830108,62.33830108,62.33830108,11.47716243,11.11789314,10.69151366,10.50318805,62.94216393,62.94216393,63.07141848,63.20122486,63.9912,0,0,-1
114N04681,2.76402,32568.27764,6,83.90034246,70,72,F,90,0_RI,3,0,1,2,3,0,1,2,8.375044345,WA,63.92166167,1.491261528,1.491270007,1.491314935,63.37880255,65.46363158,1.23176782,0.748199993,0.513714028,59.94015557,62.65358937,61.39256825,61.39256825,61.39256825,61.39256825,2.483252074,4.560015957,4.213842438,3.925113489,62.02292523,62.03545772,62.22940018,62.32028392,63.64907463,0,0,-1
114N04682,2.12658,32448,6,69.94111152,70,80.68212239,F,90,0_RI,9,1,1,7,9,1,1,7,8.374442925,WA,63.00977778,1.57041576,1.57042469,1.570472003,62.4105,64.87871186,1.273098595,0.768631278,0.976194485,58.16867952,63.06439218,65.54908755,65.54908755,65.54908755,65.54908755,5.27449479,5.033864354,5.046277979,5.098738124,64.69595493,64.15381006,64.62771025,64.69595493,62.75154098,0,0,-1
114N04816,8.81189,18595.04312,4,68,70,48.0788512,F,90,0_RI,14,0,4,10,13,0,3,10,6.9802872,WA,65.54298347,1.87634986,1.876360529,1.876417059,65.31805903,66.22714823,1.296470276,0.823986028,0.386680808,62.52009058,62.77864734,62.67265217,62.67265217,62.67265217,62.67265217,7.318479775,7.321780054,7.158630339,7.06452209,65.50244142,65.39885871,65.39436641,65.21511778,65.4078433,0,0,-1
114N04817,14.10301,18269.69868,4,143.4611678,70,48.1985271,F,90,0_RI,22,2,3,17,22,2,3,17,6.94047659,WA,65.20227226,1.960998991,1.961010141,1.961069221,64.92434271,65.97970883,1.407850285,0.982985681,0.441884366,62.15580685,66.51893286,63.51118676,63.51118676,63.51118676,63.51118676,5.207883797,5.559762773,5.376294027,5.401574624,66.42064824,66.11072989,65.89764185,65.72844855,65.03522972,0,0,-1
114N04818,4.69479,18299.45053,4,76,70,48.16794845,F,90,0_RI,3,0,1,2,3,0,1,2,6.958012886,WA,64.83853197,1.26528535,1.265292545,1.265330665,64.67312755,65.50869767,0.950260774,0.628972006,0.418397416,62.4252091,65.37702663,62.19462336,62.19462336,62.19462336,62.19462336,1.724949917,1.491175517,2.478535964,2.654190435,65.54742792,64.97161891,64.81372131,64.65665032,64.75572414,0,0,-1
114N04820,0.88435,17875.2168,4,76,70,48.53274158,F,90,0_RI,0,0,0,0,0,0,0,0,6.733629211,WA,64.31636364,0.995798481,0.995804143,0.995834144,64.10053691,64.97265306,0.771691025,0.418885832,0.957137574,59.20177811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.31636364,0,0,-1
114N04821,5.08193,11069.2635,4,92.36200617,70,48.26248906,F,90,0_RI,6,0,1,5,6,0,1,5,7.012680401,WA,64.64645936,1.172411743,1.172418409,1.172453731,64.57040471,65.69101616,0.79099923,0.469553778,1.826828242,61.97370708,60.42674615,63.8363522,63.8363522,63.8363522,63.8363522,8.656470909,6.897946246,6.188773196,5.818269106,64.07006611,65.3797446,65.24592481,65.25753016,64.64645936,0,0,-1
114N04822,8.35884,10999.88904,4,122,70,48.16380269,F,90,0_RI,10,0,4,6,10,0,4,6,6.985646495,WA,64.62095347,1.201983445,1.20199028,1.202026492,64.43645396,65.70267249,0.937659829,0.560702381,1.581368756,62.03041676,62.94065505,63.82168675,63.82168675,63.82168675,63.82168675,5.113526778,5.414851707,5.026399024,4.495551799,64.74147377,65.02125566,65.16205539,65.19029259,64.57472961,0,0,-1
114N04823,8.56542,10691.56067,4,122,70,48.29053029,F,90,0_RI,2,0,1,1,2,0,1,1,6.917638036,WA,64.37476409,1.18488524,1.184891978,1.184927676,64.10709356,65.05382278,0.851332601,0.557297676,1.354034221,61.69459117,66.88831236,63.17343622,63.17343622,63.17343622,63.17343622,4.378969025,3.95279131,3.410505117,3.7078074,69.97504719,69.2331499,69.41876827,68.89096304,64.28529256,0,0,-1
114N04825,8.19431,10859.47527,4,123.1596583,70,48.6276271,F,90,0_RI,4,0,2,2,4,0,2,2,6.859458353,WA,64.62106462,1.07057181,1.070577898,1.070610151,64.40942358,65.26441593,0.762643312,0.558866962,1.357077236,62.22268805,69.59609223,68.17479721,68.17479721,68.17479721,68.17479721,3.99523984,3.746514191,3.643952068,3.584111209,66.41116277,67.47449429,67.5051429,67.68277121,64.50331487,0,0,-1
114N04826,4.02359,11411.63634,4,40,70,48,F,90,0_RI,3,0,1,2,2,0,1,1,7,WA,64.95481614,0.888687484,0.888692538,0.888719312,64.76121013,65.64164955,0.65690725,0.399794824,1.269953667,62.59336965,63.84069182,67.02715305,67.02715305,67.02715305,67.02715305,22.75585375,15.95801954,12.00541395,10.7982332,65.21347288,66.65354224,66.34316336,66.45478079,64.85786866,0,0,-1
114N04827,2.04478,11766.64497,4,40,70,48,F,90,0_RI,3,0,1,2,3,0,1,2,7,WA,64.572,0.928203055,0.928208333,0.928236297,64.572,65.33616568,0.682093134,0.354578628,1.23403511,62.15333469,62.59908261,69.06532447,69.06532447,69.06532447,69.06532447,6.380324517,6.376585634,6.568159234,6.619816086,63.89966365,64.34740174,65.55929603,64.48740786,64.572,0,0,-1
114N04828,3.54274,11810.88135,4,39.87601405,70,48.4654386,F,90,0_RI,6,0,0,6,6,0,0,6,6.819760314,WA,64.41345455,0.739684806,0.739689012,0.739711296,64.19730201,64.96025806,0.611709722,0.4038629,1.064669686,61.6834736,64.56434433,66.19652595,66.19652595,66.19652595,66.19652595,7.408364356,7.349244125,6.689178291,6.088213796,64.20277347,64.7404264,64.85015593,64.56837298,64.30519664,0,0,-1
114N04824,1.39175,10695.53707,4,122,70,48,F,90,0_RI,2,0,1,1,2,0,1,1,7,WA,62.23975155,0.957239998,0.957245441,0.95727428,61.85555556,63.42151899,0.80968456,0.438296254,1.428555285,57.20571275,55.57823626,57.85703571,57.85703571,57.85703571,57.85703571,6.422645298,7.453188134,6.598419342,6.339018113,61.97226415,61.28826406,61.85555556,61.85555556,62.23975155,0,0,-1
114N04833,9.99874,12826.05906,4,49.00102976,70,48,F,90,0_RI,8,0,3,5,8,0,3,5,7,WA,64.93469152,1.283687775,1.283695075,1.283733749,64.62381329,66.1073719,0.901909998,0.690134704,1.317424259,62.39862553,63.1420503,63.69730164,63.69730164,63.69730164,63.69730164,5.494507336,4.948104824,4.831085771,4.404511609,66.5350536,66.44499049,66.5350536,66.38168105,64.66251018,0,0,-1
114N04834,3.13205,13232.81112,4,39.96169404,70,48.22983578,F,90,0_RI,6,0,0,6,6,0,0,6,6.932964563,WA,64.80103448,0.868915897,0.868920837,0.868947016,64.61535817,65.66273169,0.69450784,0.347461507,1.49564914,62.04194935,61.11768477,62.10843119,62.10843119,62.10843119,62.10843119,7.641417358,8.226520017,7.930802572,7.233966121,64.14991624,64.06465909,64.10116317,64.43074286,64.67713193,0,0,-1
114N04835,1.76549,12411.53043,4,39.8985721,70,48.48178254,F,90,0_RI,0,0,0,0,0,0,0,0,6.911250585,WA,64.52552284,0.694551671,0.69455562,0.694576545,64.19963636,65.13726455,0.597370575,0.520693578,0.955400473,61.29188211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.19963636,0,0,-1
114N04838,1.57698,15445.74982,4,10.07755297,69.14555149,49.74069346,F,89.21878994,0_RI,4,0,1,3,3,0,1,2,3.897131059,WA,60.82637143,0.534030926,0.534033962,0.534050051,60.39497872,61.70791304,1.011016661,0.327386653,0.715355338,55.374905,55.41495111,59.80717733,59.80717733,59.80717733,59.80717733,4.810543948,5.770614421,5.712583554,5.70275348,60.59916104,61.70791304,61.22587041,61.0443871,60.71794652,0,0,-1
114N04839,10.24362,15288.7672,4,280.0913825,70,48,F,90,0_RI,33,0,9,24,33,0,9,24,7.134695922,WA,65.9696458,1.151678433,1.151684981,1.151719678,65.53974882,67.58161026,1.22802248,0.643915536,0.524831676,61.81883511,64.44892819,64.38381753,64.38381753,64.38381753,64.38381753,9.288364773,8.846703117,8.510984653,8.666264034,65.46218698,65.04842168,65.07711529,65.02930384,65.85184286,0,0,-1
114N04840,10.35633,15294.05929,4,116.0214306,70,48.17472456,F,90,0_RI,21,1,5,15,20,1,5,14,7.08958274,WA,63.65871599,1.588853622,1.588862657,1.588910525,63.1911661,65.49458129,1.30111272,0.922706235,0.542865818,59.42358501,66.76919141,65.47005128,65.47005128,65.47005128,65.47005128,7.14927411,6.456312622,6.333383775,6.253318219,64.88288935,64.99033353,64.8678388,65.00166905,63.40610204,0,0,-1
114N04842,1.44808,22168.70532,4,76,70,48,F,90,0_RI,3,0,1,2,3,0,1,2,7,WA,63.96426994,0.918763355,0.918768579,0.918796259,63.5742439,65.1636,0.928074613,0.595022261,0.774454515,60.53553311,60.79462594,64.49208448,64.49208448,64.49208448,64.49208448,3.240732988,4.647773489,5.980380112,5.925567324,62.11631446,62.92318237,62.77060418,62.80828916,63.83373061,0,0,-1
114N04844,4.63946,28397.68314,4,76,70,48.67486548,F,90,0_RI,20,0,5,15,19,0,5,14,6.606328473,WA,64.82039845,1.330530737,1.330538303,1.330578389,64.40381491,66.36578543,1.138984382,0.761008741,0.124311998,60.69020887,65.20269438,64.57153318,64.57153318,64.57153318,64.57153318,7.907837015,8.08987505,8.116519844,7.751467057,65.84253351,65.84253351,65.84253351,65.84253351,64.65312,0,0,-1
114N04845,7.45301,26449.5021,4,76,70,48.06406208,F,90,0_RI,19,0,3,16,19,0,3,16,6.981315225,WA,65.86948282,1.632889826,1.632899111,1.632948306,65.33482792,67.24520301,1.463373416,0.879886198,0.079447907,62.28996701,64.84642036,63.58018009,63.58018009,63.58018009,63.58018009,9.123918981,9.497397599,9.906672804,9.728431445,67.28174931,67.1274818,66.94324251,67.02123897,65.60106601,0,0,-1
114N04846,4.39309,26659,4,76,70,48.18854328,F,90,0_RI,18,0,4,14,18,0,4,14,6.945008209,WA,63.77066129,1.455786735,1.455795013,1.455838872,63.34495594,65.08281481,1.499295137,0.764039411,0.316078434,59.86259335,59.55780466,62.39550238,62.39550238,62.39550238,62.39550238,8.995557245,9.081262323,9.150813186,9.053458084,64.4266305,64.40041677,64.55152653,64.39383448,63.59969437,0,0,-1
114N04847,3.40234,26604.45586,4,76,70,48.5488395,F,90,0_RI,29,0,6,23,28,0,6,22,6.679843625,WA,62.06971622,1.142310467,1.142316962,1.142351377,61.54986935,63.35391724,1.14510315,0.494084054,0.308955291,57.52624154,62.14875236,61.86072727,61.86072727,61.86072727,61.86072727,7.444261121,6.985180227,7.172147029,7.133215743,62.95772751,62.97390231,62.81243077,62.9199863,61.86072727,0,0,-1
114N04849,1.47521,26424,4,51.02569334,70,48.7051299,F,90,0_RI,10,0,0,10,10,0,0,10,6.588674224,WA,65.16265031,1.153789975,1.153796536,1.153831296,64.76531707,66.38445,0.988139248,0.640180436,0,61.63197053,68.99364751,65.72744646,65.72744646,65.72744646,65.72744646,17.19836979,15.58672563,14.28461826,13.63212598,66.24672293,66.38445,66.88616642,66.94230252,65.02966531,0,0,-1
114N04850,2.3658,30695.35841,4,77.97904609,70,48.24925335,F,90,0_RI,12,0,0,12,10,0,0,10,6.841384233,WA,64.27833962,1.138258012,1.138264485,1.138298778,63.79685393,65.68287918,1.118906828,0.584102655,0.238792371,60.79569873,64.73470743,65.4151972,65.4151972,65.4151972,65.4151972,8.957752381,7.864140006,7.747351112,7.76772593,62.80115057,63.71730673,63.55880597,63.8766,64.03669173,0,0,-1
114N04851,2.23523,33077.31049,4,52.76424656,70,52.01149374,F,90,0_RI,21,0,5,16,20,0,5,15,6.848213634,WA,64.54674866,1.105807751,1.105814039,1.105847354,64.11815139,65.95760656,1.166392035,0.624688271,0.127081937,60.65730909,63.31987557,65.48358726,65.48358726,65.48358726,65.48358726,12.63012919,11.806204,10.89712157,10.45594028,65.68875563,66.22903704,66.13831233,66.13831233,64.374624,0,0,-1
114N04852,4.10039,31731.20573,4,76.54866135,70,48.21230392,F,90,0_RI,10,0,2,8,9,0,2,7,6.946924021,WA,65.41242541,1.376195913,1.376203738,1.376245199,64.93286217,66.89458006,1.258448522,0.655694399,0.10709811,61.89512732,62.82479769,64.91641875,64.91641875,64.91641875,64.91641875,7.980276704,6.833255427,6.693827627,6.914814957,66.16005748,66.18969687,66.09583881,65.99733532,65.21975258,0,0,-1
114N04853,2.39863,31857.79197,4,78,70,48.22797234,F,90,0_RI,3,0,0,3,3,0,0,3,6.943006916,WA,65.08845226,1.269360629,1.269367846,1.269406089,64.60150623,66.4236,1.140055173,0.617374757,0.12012424,61.72422795,61.86696825,63.26909252,63.26909252,63.26909252,63.26909252,14.62594104,12.19074212,12.11455348,12.02712019,63.40320273,63.82288762,63.96346667,64.28889836,64.76301,0,0,-1
114N04855,6.45044,30224.16662,4,303.9521211,65,48.13083805,F,90,0_RI,37,0,8,29,35,0,8,27,5.658455212,WA,63.56272993,1.293089017,1.293096369,1.293135327,63.21665336,64.74419331,1.439993046,0.557096116,0.085094977,59.21146959,64.82500236,63.07643273,63.07643273,63.07643273,63.07643273,8.679415301,8.565808378,8.481749657,8.692784235,64.56418165,64.1480221,64.1480221,64.08900828,63.38921929,0,0,-1
114N04856,0.95954,30856.87421,4,91.7245275,65,48,F,90,0_RI,3,0,0,3,3,0,0,3,6.958423725,WA,62.80625455,0.739873196,0.739877403,0.739899694,62.80625455,63.96933333,1.23301383,0.411120879,0,58.84974004,63.84367929,65.08872026,65.08872026,65.08872026,65.08872026,3.848993779,2.909587226,3.283759773,3.149020469,63.61612843,63.59650593,63.57688344,63.57688344,62.80625455,0,0,-1
114N04831,4.90266,14779.48727,4,42.8052653,70,48,F,90,0_RI,2,0,0,2,2,0,0,2,7,WA,65.2077931,1.157252006,1.157258587,1.157293452,65.00764641,66.1032809,0.823421851,0.505392265,1.411380817,62.67618376,63.00055185,65.65316602,65.65316602,65.65316602,65.65316602,3.32132815,3.099472916,2.708324064,3.254565477,61.47550133,61.9839909,63.48768345,64.41451095,64.96776442,0,0,-1
114N04832,5.00023,14237.17731,4,38,70,48,F,90,0_RI,9,0,3,6,8,0,3,5,7,WA,65.45755636,1.108071114,1.108077415,1.108110798,65.2203913,66.42371956,0.798640648,0.498060087,1.280653036,62.79808599,70.84205282,66.95165166,66.95165166,66.95165166,66.95165166,5.584218086,4.5250158,4.46376946,4.039634461,67.8018582,66.42371956,66.42371956,66.25685573,65.2203913,0,0,-1
114N04836,5.80805,14383.58001,4,50.9373927,70,48,F,90,0_RI,6,0,2,4,5,0,1,4,7,WA,64.8675698,1.06975278,1.069758863,1.069791092,64.73368421,65.95892744,0.827016999,0.487788009,1.033288447,62.19280952,63.49825341,65.22204356,65.22204356,65.22204356,65.22204356,18.04139645,17.18688392,17.43136513,15.86427705,64.52726323,65.57307444,65.61395397,65.35418931,64.73368421,0,0,-1
114N04841,4.54156,16416.10328,4,76,70,48,F,90,0_RI,4,0,1,3,3,0,1,2,7,WA,65.05152255,1.27911187,1.279119143,1.279157679,64.62298814,66.73312653,0.911766033,0.588362497,0.772559542,62.28927981,58.17048879,63.2897748,63.2897748,63.2897748,63.2897748,6.033047611,7.235228954,10.00815437,8.982196064,66.32269786,65.09050149,64.88372522,64.95247164,64.79372259,0,0,-1
114N04848,1.63805,27814.63741,4,77.75809882,70,48,F,90,0_RI,6,0,2,4,6,0,2,4,7,WA,64.44786885,1.156767967,1.156774545,1.156809395,64.0976087,65.76557621,0.932826169,0.677534824,0.258832684,60.6092495,64.42460433,62.70057864,62.70057864,62.70057864,62.70057864,21.15367424,17.54990925,14.85789336,12.93577434,65.58289405,65.2802214,64.80197802,64.80197802,64.0976087,0,0,-1
114N05041,6.09259,19470.41596,4,286.5285776,70,48,F,82,0_RI,7,0,1,6,7,0,1,6,7,WA,63.88346796,0.958427336,0.958432786,0.958461661,63.82150533,64.13252632,0.808871262,0.310823569,0.044156324,60.26382253,62.40341195,63.98427028,63.98427028,63.98427028,63.98427028,10.87096973,8.123636818,7.005060043,6.33619106,65.50550976,65.42069807,65.47260896,65.53782072,63.66712337,0,0,-1
114N05039,2.96971,19725.60336,4,65.60916857,70,49.37950957,F,82,0_RI,5,0,0,5,5,0,0,5,6.655328513,WA,65.85804517,0.768346897,0.768351266,0.768374415,65.79049846,66.12962474,0.638073157,0.224177926,0.226783053,62.94759894,66.7206553,62.75290733,62.75290733,62.75290733,62.75290733,6.95377819,7.274527519,7.410750957,6.838407359,64.92483401,65.14908748,64.92483401,64.79367273,65.58868712,0,0,-1
114N05050,1.95182,21689.38561,4,76,70,48,F,82,0_RI,0,0,0,0,0,0,0,0,7,WA,64.46377982,0.942717992,0.942723353,0.942751755,64.46377982,64.46377982,0.501939222,0.087893533,0.139824466,61.8852809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.2672439,0,0,-1
114N05040,5.12347,19424.1055,4,51.22281997,70,48,F,82,0_RI,11,0,4,7,9,0,3,6,7,WA,64.94539437,0.950972503,0.95097791,0.951006561,64.86925674,65.17488339,0.688638113,0.246185559,0.141236462,62.10732285,63.75848386,66.67042843,66.67042843,66.67042843,66.67042843,6.020215487,5.803498409,5.998019374,5.939573176,64.83145508,65.17488339,65.17488339,65.17488339,64.71751579,0,0,-1
114N05048,5.10914,22532.60471,4,76,70,48.29771248,F,82,0_RI,3,0,1,2,3,0,1,2,6.943625554,WA,64.23598603,0.977032657,0.977038212,0.977067648,64.23598603,64.31085315,0.623166344,0.229929728,0,61.75622764,63.86899651,64.31891605,64.31891605,64.31891605,64.31891605,9.925741574,10.02269912,9.468258976,9.491872072,65.32485252,64.62727778,64.30344506,64.31843595,64.01242691,0,0,-1
114N05063,2.15908,17699.83773,4,75,70,48.44928123,F,82,0_RI,2,0,0,2,2,0,0,2,6.887679692,WA,65.31670588,1.084490164,1.084496331,1.084529004,65.04341423,66.43323077,0.739619012,0.301570211,0.803056749,62.0756069,63.11614272,65.70902093,65.70902093,65.70902093,65.70902093,3.742696881,4.165916734,4.786797509,4.397544888,67.296,69.04470343,67.296,67.04944138,65.31670588,0,0,-1
114N05065,8.76778,17713.80545,4,255.7234909,70,48.4740994,F,82,0_RI,26,0,5,21,25,0,5,20,6.911659623,WA,59.70493317,1.268063602,1.268070812,1.268109016,58.88807463,61.5282807,1.33332797,0.800684314,1.046810151,52.07202058,55.16453082,57.59434408,57.59434408,57.59434408,57.59434408,11.40157089,10.77839254,10.32001574,10.06605488,60.12192,60.06852672,60.06947953,59.96392289,59.71434738,0,0,-1
114N05049,4.50789,21147.21797,4,76,70,49.60937384,F,82,0_RI,9,0,4,5,7,0,3,4,6.696419423,WA,64.39842857,0.870107335,0.870112282,0.870138497,64.39842857,64.39842857,0.584260805,0.216751557,0.18142058,61.53864594,61.58943168,63.95852001,63.95852001,63.95852001,63.95852001,9.136771633,6.967642379,6.123346727,5.465959378,64.08902942,63.8076173,63.76792035,64.26251739,64.05948947,0,0,-1
114N05053,3.96333,26555.09319,4,76,70,49.51702576,F,82,0_RI,4,0,1,3,3,0,1,2,6.62413261,WA,64.85449091,0.882563337,0.882568355,0.882594944,64.71966523,65.24994512,0.586773009,0.161005104,0.211323176,62.24035161,60.60391688,63.20872103,63.20872103,63.20872103,63.20872103,4.936976843,4.492312726,3.883732218,3.874460903,64.30681657,64.5915673,64.37200163,64.85449091,64.56103167,0,0,-1
114N05047,2.99227,21276.61586,4,76,70,48.20013051,F,82,0_RI,5,0,0,5,4,0,0,4,6.050358232,WA,64.37552988,0.816005006,0.816009646,0.81603423,64.24754672,64.50402395,0.599453684,0.180906939,0,61.79123634,63.1887533,63.76665371,63.76665371,63.76665371,63.76665371,2.482461089,2.460460291,2.306745733,2.359269767,64.06973943,64.06973943,64.54280393,64.78206391,64.12007143,0,0,-1
114N05038,5.53554,23000.4122,4,76,70,48,F,82,0_RI,0,0,0,0,0,0,0,0,7,WA,63.46478981,1.107451301,1.107457598,1.107490963,63.46478981,63.66755272,0.732962109,0.332242432,0.112740969,59.36011608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.26331429,0,0,-1
114N05043,4.92792,21318.61535,4,76,70,48,F,82,0_RI,2,0,1,1,2,0,1,1,8,WA,64.66772296,0.566071164,0.566074383,0.566091437,64.58924272,64.9043122,0.689303438,0.325689915,0.111937433,61.74691495,59.33287478,63.97358978,63.97358978,63.97358978,63.97358978,2.235591559,1.873321441,1.965556732,2.073593747,64.88066321,64.57863918,64.825257,64.43701136,64.51095273,0,0,-1
114N05052,5.80591,26719.64217,4,76,70,48,F,82,0_RI,4,0,0,4,4,0,0,4,7,WA,64.70983282,0.954100564,0.954105989,0.954134734,64.64312165,65.11300935,0.647532534,0.218783031,0.167425453,62.10708792,66.61578239,63.67761907,63.67761907,63.67761907,63.67761907,6.150928787,5.269495966,4.803525415,4.437285657,65.2553806,66.07358061,65.64817809,65.3164875,64.46370096,0,0,-1
114N05044,2.26206,18528,4,76,70,48,F,82,0_RI,0,0,0,0,0,0,0,0,8,WA,63.86992941,0.650444858,0.650448556,0.650468152,63.7865483,63.9535288,0.550772528,0.275113877,0.177806536,60.91755592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.6204375,0,0,-1
114N05032,8.82086,18672.07514,4,76,69.8446598,48.12015354,F,82,0_RI,9,0,4,5,8,0,3,5,6.969961616,WA,65.1609357,1.316539029,1.316546515,1.316586179,64.93884663,65.83641189,1.070238017,0.419045343,1.098669484,61.82965389,64.17786716,64.5567294,64.5567294,64.5567294,64.5567294,5.547130625,5.307124174,5.721170805,6.300248418,64.6129799,64.67432994,64.76226241,64.67432994,64.93884663,0,0,-1
114N05212,15.31955,4134.782468,2,0,55,23.85905618,2,14,1_R2L,13,0,5,8,10,0,2,8,5.292919573,WA,54.98542373,0.970623489,0.970629008,0.970658251,54.83962214,55.6596675,0.70306544,0.268064981,0.070805873,48.56278155,50.35598199,54.64271318,54.64271318,54.64271318,54.64271318,4.290755876,5.395877801,5.861484021,6.771546102,54.15398075,54.25544591,54.23916348,54.33089604,54.65845391,0,0,-1
